Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.41283664155431327,0.0016859867950467665,0.0001854585474551443,8.429933975233832e-05,7.165443878948758e-05,0.04487938811554209,0.012105567123038721,0.41283666426323445,0.41283666426323445,0.13803268985393666,78.75655587978275,50.99815167920621,210.5390682283396,108.70979251718283,21.243444120217248,29.32289733675382,4.3362,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.0,0.0,0.3942,0.013794437414019,0.0,0.0048422268492154886,95.48570515254642,3.341378953983442,0.0,1.172915893470152
1,0.0028790576814384196,0.00737258266783897,0.008381708301119884,0.015754290968958855,0.41283664155431327,0.5930382316577724,0.0007337473326968819,8.0712206596657e-05,3.66873666348441e-05,3.118426163961748e-05,0.01929372124982447,0.012010343176803731,0.18020160317821668,0.59303824473253,0.17371690303814302,61.63327862759137,48.56884787144149,87.52184250952675,107.06742287272144,38.36672137240863,66.64948016542158,1.8633348650397275,0.002769272999999999,0.007256502477,0.00830030208,0.015556804557,0.00010978468143842037,0.00019748641195885437,0.030727109339727474,0.16660070506363633,0.006003387267519943,0.0027933735763388612,0.004804137270721492,92.45239893835503,3.3314838279117214,1.5501380271163607,2.6659792066168646
2,0.0012569829024150513,0.007342740020615705,0.008384447910062428,0.015727187930678132,0.5930382316577724,0.7577181686425348,0.0006693907370825148,7.363298107907662e-05,3.346953685412574e-05,2.844910632600688e-05,0.017586622496467447,0.012003907517242295,0.16467994933841915,0.7577181809961915,0.1796850808649502,59.43327979701376,48.21907310444603,79.407145159857,106.79273686395629,40.56672020298624,72.89234400099392,1.6984170833093184,0.0011630946599999997,0.0071774066000007,0.008267930901888,0.0154453375018887,9.388824241505166e-05,0.0002818504287894312,0.06830097646017576,0.1509857469262609,0.005476833303402394,0.0034158061018589353,0.004801563006896918,91.68435351894814,3.3257438597745983,2.074208861237512,2.9156937600397557
3,0.000571520852470061,0.007308791706639125,0.008384069439342603,0.01569286114598173,0.7577181686425348,0.915619526169734,0.0006408027836817466,7.048830620499213e-05,3.204013918408733e-05,2.723411830647423e-05,0.016841104503765362,0.012001048721902219,0.15790136952299144,0.9156195381655263,0.18265929746396511,58.39059369803884,48.04933446856061,75.87055717254,106.65584823387604,41.60940630196116,76.00344923008907,1.6264381998451791,0.0004884997572,0.007099172868060693,0.008235685971370636,0.01533485883943133,8.302109527006101e-05,0.0003580023065503993,0.1124033166422218,0.14384871451483028,0.005242931866487018,0.004009303652913275,0.004800419488760888,91.10035900852968,3.3203840361394796,2.539118986127283,3.0401379692035646
4,0.0002817652589080342,0.007273245148693247,0.008382312103328068,0.015655557252021314,0.915619526169734,1.0704366355913992,0.0006273045233377646,6.900349756715411e-05,3.136522616688823e-05,2.6660442241854996e-05,0.016501896581933337,0.01199969889586782,0.15481712121228655,1.0704366473820206,0.18409847214972763,57.89815027999418,47.96823059550842,74.26303370443743,106.58961006842253,42.10184972000582,77.50886208130511,1.5937322510929348,0.000205169898024,0.007021791883798831,0.008203566796082291,0.015225358679881121,7.659536088403418e-05,0.00043019857214019255,0.16308270994464447,0.1402775325264102,0.005132491554581711,0.004607217572947516,0.004799879558347128,90.60853956460052,3.3151963519228564,2.9759096002244223,3.100354483252206
5,0.0001591889571693004,0.007237156693004296,0.008379909870643664,0.01561706656364796,1.0704366355913992,1.2237309065346575,0.000620177966528627,6.821957631814897e-05,3.100889832643135e-05,2.635756357746665e-05,0.016334415690693025,0.011998986240186907,0.15329428259328406,1.2237309181846834,0.18483012837506324,57.650739330706756,47.92724888666671,73.4697323475135,106.55593551411837,42.349260669293244,78.27419286094486,1.577625552081726,8.617135717008001e-05,0.006945254352265424,0.00817157288557757,0.015116827237842995,7.30175999992204e-05,0.0005002393258049659,0.22040840252506308,0.13820907813648248,0.005074183362506948,0.0052114265982198755,0.004799594496074763,90.15931696759675,3.310093029346453,3.3996222886189966,3.1309677144377965
6,0.0001072428577125562,0.0072009709380460455,0.00837717290785105,0.015578143845897095,1.2237309065346575,1.3761626631275545,0.0006157465492842401,6.77321204212664e-05,3.0787327464212005e-05,2.6169228344580206e-05,0.01623955859796547,0.011998543098462468,0.15243176812998016,1.3761626746646378,0.18525076526271736,57.50938491739953,47.903763403221824,73.02055355633344,106.53657565736438,42.49061508260047,78.71418960535297,1.5685386703609652,3.619197001143361e-05,0.006869551079825731,0.008139703751323817,0.015009254831149548,7.105088770112259e-05,0.0005688890147475464,0.28440239276993,0.13677678910146346,0.005037926312325601,0.005817635476806082,0.004799417239384987,89.72984488694802,3.305036984173607,3.8165505446642354,3.1485675842141214
7,8.513693986666361e-05,0.007164874504739563,0.008374232652571874,0.015539107157311438,1.3761626631275545,1.5280115528916713,0.000612459557002955,6.737055127032506e-05,3.062297785014775e-05,2.602953117262559e-05,0.01617545769848076,0.011998214399234338,0.15184890120042793,1.5280115643279824,0.185537543406575,57.41338098342034,47.88778296192246,72.71707223692495,106.52337666329578,42.58661901657966,79.0141667432792,1.5624244097178102,1.5200627404802116e-05,0.006794672973055631,0.008107958906693654,0.014902631879749285,6.99363124618615e-05,0.000636475277562153,0.35504355177233143,0.13561665915594623,0.005011032739115086,0.00642192354567286,0.004799285759693735,89.3102670377203,3.3000125121096135,4.229153780438921,3.160566669731167
8,7.563841864966682e-05,0.007128945213137556,0.008371145155085311,0.015500090368222866,1.5280115528916713,1.6793964005415347,0.0006096628600511756,6.706291460562933e-05,3.0483143002558782e-05,2.5910671552174967e-05,0.01612442536091859,0.011997934729539162,0.1513848589910756,1.679396411882747,0.18576732361401888,57.33667199002191,47.874996889423336,72.47549653303534,106.51280100521251,42.66332800997809,79.25452260880635,1.5575728786872534,6.384263510016889e-06,0.006720611037649324,0.008076337866957549,0.014796948904606873,6.925415513964993e-05,0.0007031414636159937,0.43228311364789584,0.1345757560737899,0.004988150673145983,0.007021778352324033,0.004799173891815665,88.89644378618036,3.295012926913677,4.638362382553713,3.170180904352254
9,7.146693007738911e-05,0.007093214998228879,0.008367934663065754,0.015461149661294634,1.6793964005415347,1.8303680875001207,0.0006070804953041228,6.677885448345351e-05,3.035402476520614e-05,2.580092105042522e-05,0.016078989037145733,0.011997676493064456,0.15097169820764153,1.8303680987491762,0.18597303907646637,57.26815750198298,47.863563587796655,72.26043477119093,106.5033329295351,42.73184249801702,79.46970614693126,1.5532616591372024,2.6813906742070937e-06,0.006647356377338947,0.008044840149276413,0.01469219652661536,6.878553940318202e-05,0.000768953134679274,0.5160569810561414,0.13358979924808698,0.004967022234306459,0.007615806128022327,0.004799070597225783,88.48665069949199,3.290035346542224,5.0445257080885435,3.178788245877249
10,6.954675166732412e-05,0.0070576964468498735,0.008364612005012465,0.015422308451862338,1.8303680875001207,1.9809487894877045,0.0006045960095586132,6.650556105144746e-05,3.0229800477930663e-05,2.5695330406241064e-05,0.016035991612132414,0.011997428044489906,0.15058071314627244,1.9809488006463931,0.18616872686338634,57.203123302669354,47.85269957184078,72.05693627502109,106.49432637867261,42.796876697330646,79.67440048471373,1.5491855203529663,1.1261840831669795e-06,0.006574900192825952,0.008013465272694236,0.014588365465520187,6.842056758415714e-05,0.000833942986342151,0.6062933364487723,0.13263174226912142,0.004946694623661382,0.00820330503569371,0.004798971217795963,88.08016611017402,3.285078493987618,5.447779376449831,3.1869760193885486
11,6.857849701243802e-05,0.00702239399083732,0.008361182344364702,0.015383576335202022,1.9809487894877045,2.1311485525730762,0.0006021602314454154,6.62376254589957e-05,3.010801157227077e-05,2.5591809836430154e-05,0.015994099040515332,0.011997184466678586,0.15019977415499264,2.131148563642697,0.18636035682922836,57.139570025092844,47.842072104239314,71.85868425163612,106.48550658944981,42.860429974907156,79.87485023977854,1.545215483221446,4.729973149301314e-07,0.006503233780724149,0.007982212758130729,0.014485446538854878,6.810549969750789e-05,0.0008981297963471437,0.7029168660532374,0.1316901776015437,0.004926765530007944,0.00878395723676956,0.004798873786671434,87.67668150129926,3.280141769670017,5.848182719439583,3.194994009591139
12,6.801322197990999e-05,0.0069873086282722105,0.008357648450232904,0.015344957078505115,2.1311485525730762,2.2809722957281453,0.0005997523695681965,6.597276065250162e-05,2.9987618478409826e-05,2.5489475706648355e-05,0.015952747433096402,0.011996943680490863,0.1498237541367091,2.2809723067097853,0.18655046574312983,57.07665021507607,47.83153997689858,71.66300885479026,106.47675680680153,42.92334978492393,80.07370893632829,1.5412970300485025,1.9865887227065518e-07,0.006432348532514256,0.00795108212837402,0.014383430660888276,6.781456310763933e-05,0.0009615264176168394,0.8058509641256854,0.1307602665432777,0.004907064841921608,0.009357645279313443,0.004798777472196345,87.27605799008573,3.2752248601674188,6.245768792293717,3.2029483574531334
13,6.761901618181963e-05,0.006952439914868814,0.008354012077035771,0.015306451991904585,2.2809722957281453,2.430422769039995,0.0005973636036191277,6.570999639810404e-05,2.9868180180956387e-05,2.538795315381293e-05,0.015911698251343618,0.011996704803895957,0.14945048420650037,2.430422779934646,0.18674013137807996,57.01400477787756,47.821043277398154,71.46878073067171,106.46802742611334,42.98599522212244,80.27210395196661,1.5374071008086405,8.343672635367519e-08,0.00636223593350985,0.007920072908073362,0.014282308841583212,6.753557945546595e-05,0.0010241431503213733,0.9150188371033694,0.12983992980281422,0.004887520393247409,0.009924352088880357,0.0047986819215583825,86.8782262514522,3.2703275731741157,6.640562017295021,3.2108841580786684
14,6.729790291225742e-05,0.0069177868039059206,0.008350274546469846,0.015268061350375766,2.430422769039995,2.579501803397747,0.0005949901630868347,6.544891793955182e-05,2.9749508154341738e-05,2.5287081931190477e-05,0.015870850400066177,0.011996467459842727,0.1490790451663569,2.5795018142063517,0.18692981182440396,56.951481588038476,47.8105565836629,71.27552124364541,106.4592973637304,43.048518411961524,80.47051446067357,1.5335359253288023,3.504342506854358e-08,0.006292887561834592,0.007889184623731876,0.014182072185566469,6.726285948718887e-05,0.0010859891648092972,1.030344039533018,0.1289282475362867,0.00486810133434683,0.010484109311786238,0.00479858698393709,86.48314549668333,3.2654497678828904,7.0325841570068075,3.2188205784269415
