Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.4131179598356228,0.0019803806113970783,0.0002178418672536786,9.901903056985392e-05,8.416617598437583e-05,0.04514434255025737,0.006787118633098488,0.4131179615464882,0.4131179615464882,0.12570613242995488,86.93062263521718,52.029670993796216,214.94391620891543,109.27712361201044,13.069377364782824,16.429008817944442,4.3362,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.0,0.0,0.3942,0.016203114093248823,0.0,0.002714847453239395,95.42068771939383,3.922151927888394,0.0,0.6571603527177777
1,0.0028999589442358685,0.007392851682094689,0.00839419129709656,0.01578704297919125,0.4131179598356228,0.5926920607505042,0.0008582840180974538,9.441124199071992e-05,4.29142009048727e-05,3.647707076914179e-05,0.019459457539714828,0.006674908973768525,0.1795741230414604,0.5926920828770832,0.14553525903868347,74.45926622967968,50.42803421042486,90.55570020041807,108.36448598566729,25.540733770320315,37.17077305301618,1.8687001923427118,0.002769272999999999,0.007256502477,0.00830030208,0.015556804557,0.00013068594423586936,0.00023023842219124964,0.0360924366427119,0.16660070506363633,0.007022323784433714,0.0032811306038829,0.00266996358950741,92.77545241035162,3.9105432706539722,1.8271733968737505,1.4868309221206464
2,0.0012746211909699637,0.007371362453405866,0.008402144924299236,0.015773507377705102,0.5926920607505042,0.756746372155226,0.0007827602873901508,8.610363161291659e-05,3.913801436950754e-05,3.326731221408141e-05,0.0177526128273262,0.006667356600697795,0.16405433197960823,0.7567463927301123,0.14885293873897448,72.69711323615977,50.18768652548275,82.33507386540056,108.21178943042379,27.302886763840235,40.64114930855067,1.7048128568675065,0.0011630946599999997,0.0071774066000007,0.008267930901888,0.0154453375018887,0.00011152653096996399,0.0003281698758164017,0.08006207732134847,0.1509857469262609,0.006404402351373962,0.003997240061694234,0.0026669426402791178,92.03398965717545,3.9038300751302457,2.4365342953522777,1.6256459723420262
3,0.0005869954996713519,0.007344907648450554,0.008406486976220547,0.0157513946246711,0.756746372155226,0.9140747543417282,0.0007494632378476746,8.24409561632442e-05,3.7473161892383734e-05,3.185218760852617e-05,0.017012907038405363,0.006664026895743547,0.15732840201652798,0.914074774171754,0.15049370381109922,71.85435025380498,50.07126693459908,78.7763241376349,108.13627304635109,28.14564974619502,42.35743076474813,1.6338390124342455,0.0004884997572,0.007099172868060693,0.008235685971370636,0.01533485883943133,9.849574247135196e-05,0.00041653578523977164,0.13156523009246082,0.14384871451483028,0.006131971946026429,0.004682104797373851,0.002665610758297419,91.43213346800432,3.8975619579370293,2.9760073434687127,1.694297230589926
4,0.00029599542647299013,0.0073164486990082555,0.00840923349157419,0.015725682190582443,0.9140747543417282,1.0683967735108995,0.0007339972170114736,8.07396938712621e-05,3.669986085057368e-05,3.119488172298763e-05,0.01668227511236576,0.006662480293659927,0.15432203859351631,1.0683967929352445,0.1512729848490124,71.46048361706019,50.016518706294015,77.1865113010603,108.10040655506644,28.53951638293981,43.172578293945946,1.6021677617055432,0.000205169898024,0.007021791883798831,0.008203566796082291,0.015225358679881121,9.082552844899013e-05,0.0005003235107013219,0.19068013400749204,0.1402775325264102,0.00600543177554842,0.005374082174093747,0.002664992117463971,90.89922204559565,3.891493289151464,3.48238153349507,1.7269031317578372
5,0.0001727547881126784,0.007287235116580305,0.00841123605637213,0.015698471172952436,1.0683967735108995,1.2212858379906428,0.00072606556208422,7.98672118292642e-05,3.6303278104211e-05,3.0857786388579356e-05,0.016524684966940914,0.006661687128167202,0.1528890836416388,1.2212858571525382,0.15165485685986146,71.26895444944277,49.989816193704826,76.42897189269486,108.08283085582231,28.731045550557226,43.57202600403916,1.5871225961065116,8.617135717008001e-05,0.006945254352265424,0.00817157288557757,0.015116827237842995,8.658343094259839e-05,0.000581643935109441,0.257502870612696,0.13820907813648248,0.005940536417052709,0.006074794236836721,0.002664674851266881,90.39826444406899,3.8855203233325053,3.973334192436923,1.742881040161566
6,0.00012047030757872738,0.0072577938677590775,0.008412854773921227,0.015670648641680305,1.2212858379906428,1.3734076481906927,0.0007213210009212426,7.934531010133669e-05,3.606605004606213e-05,3.065614253915281e-05,0.01644030785008815,0.006661212672050904,0.15212182916053082,1.3734076671511737,0.15186196911792668,71.1654794944462,49.975368112136,76.02344410188995,108.07329849248033,28.834520505553797,43.78867062544635,1.5791118949259033,3.619197001143361e-05,0.006869551079825731,0.008139703751323817,0.015009254831149548,8.427833756729377e-05,0.0006613938105307568,0.33207008542250105,0.13677678910146346,0.0059017172802647115,0.006778837709982278,0.0026644850688203616,89.9126639853416,3.8795992086295246,4.456189981011022,1.7515468250178539
7,9.819773065951489e-05,0.0072283468655139314,0.008414242240330954,0.015642589105844887,1.3734076481906927,1.5250439960937903,0.0007179278572381366,7.897206429619503e-05,3.5896392861906834e-05,3.051193393262081e-05,0.01638692190801872,0.006660873357682593,0.15163636668869776,1.5250440148793905,0.15199385061116205,71.09973738965391,49.96618061599747,75.76690085921093,108.0672286329591,28.90026261034609,43.92662197820296,1.57407868365044,1.5200627404802116e-05,0.006794672973055631,0.008107958906693654,0.014902631879749285,8.299710325471277e-05,0.0007399572260956017,0.41436551835753244,0.13561665915594623,0.005873955195584754,0.007481402994093768,0.0026643493430730373,89.435444885303,3.8737113819428983,4.933778853626012,1.7570648791281183
8,8.861933372632663e-05,0.007198987217650675,0.008415463427755138,0.015614450645405814,1.5250439960937903,1.6763143034963843,0.0007151109448153783,7.866220392969161e-05,3.5755547240768914e-05,3.039221515465358e-05,0.01634666982946598,0.006660591666440317,0.15127032602535775,1.676314322119148,0.15209368618700225,71.05004579695223,49.959232047793485,75.57349319846226,108.06263369013791,28.949954203047767,44.03105249686434,1.570306997913214,6.384263510016889e-06,0.006720611037649324,0.008076337866957549,0.014796948904606873,8.223507021630974e-05,0.0008175017407989413,0.5043391994590576,0.1345757560737899,0.0058509077303076406,0.0081794255546841,0.002664236666576127,88.96375092840793,3.867848958907407,5.407158012810104,1.7612420998745753
9,8.441051807077778e-05,0.007169753645528821,0.008416546303623236,0.015586299949152057,1.6763143034963843,1.8272693195858178,0.0007125428888714516,7.837971777585968e-05,3.5627144443572584e-05,3.0283072777036697e-05,0.01631199906720714,0.0066603348608459245,0.15095503455531237,1.8272693380516967,0.1521799785990949,71.00714763373459,49.95323055834864,75.40691645085003,108.05866207284502,28.99285236626541,44.121316526249885,1.5670710467222835,2.6813906742070937e-06,0.006647356377338947,0.008044840149276413,0.01469219652661536,8.172912739657069e-05,0.0008941034225366969,0.6019224544523843,0.13358979924808698,0.0058298963634936946,0.008871204999393341,0.0026641339443383696,88.49641858028757,3.8620085647806106,5.876720193881834,1.7648526610499946
