Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.41868644327525534,0.002395987187830319,0.0002635585906613351,0.00011979935939151596,0.00010182945548278856,0.04551838846904729,0.012207292660084714,0.4186864486008274,0.4186864486008274,0.13787329712256163,78.85292573200293,51.010695869898356,213.57487094424636,108.71712858431727,21.14707426799707,29.156168538244373,4.3362,0.027692730000000002,0.00733647,0.0083328,0.01566927,0.0,0.0,0.0,0.3942,0.01960353153679352,0.0,0.0048829170640338855,94.15160230701125,4.682150951458996,0.0,1.166246741529775
1,0.002924481116795128,0.007421466194882117,0.00841679891030483,0.015838265105186947,0.41868644327525534,0.6026746058672033,0.0010497273858817062,0.00011547001244698769,5.2486369294085314e-05,4.461341389997252e-05,0.019707500869275613,0.012072666679889852,0.1839881654835524,0.6026746087588077,0.1727294115121032,62.01194766763628,48.627969529213715,89.46970904870116,107.11287227350154,37.98805233236372,65.61653923860166,1.8762746221982076,0.002769272999999999,0.007256502477,0.00830030208,0.015556804557,0.00015520811679512869,0.00028146054818694623,0.04366686649820749,0.16660070506363633,0.008588678611759415,0.003969715136200681,0.0048290666719559405,90.54968542448432,4.668060355505419,2.1575926504661807,2.6246615695440663
2,0.0012962816858876776,0.007412845943875857,0.008435012863279901,0.01584785880715576,0.6026746058672033,0.7712093465881918,0.0009598659342233331,0.00010558525276456664,4.7993296711166656e-05,4.079430220449166e-05,0.018008019833844435,0.012063680534724015,0.1685347434306572,0.7712093492978606,0.17843027352363877,59.88361021535976,48.29157276050996,81.38807825055461,106.8504895030961,40.11638978464024,71.57978402054266,1.7144140493043434,0.0011630946599999997,0.0071774066000007,0.008267930901888,0.0154453375018887,0.00013318702588767796,0.0004025213052670576,0.09723769961368105,0.1509857469262609,0.007853448552736363,0.004870075737770323,0.0048254722138896065,89.58731229705361,4.659839504231142,2.889656837893542,2.863191360821707
3,0.0006066168475839263,0.007398132692658887,0.008448786570542934,0.015846919263201822,0.7712093465881918,0.9331443037378266,0.0009207551199034085,0.00010128306318937493,4.603775599517043e-05,3.9132092595894864e-05,0.01728221571869882,0.012059769453292023,0.16193495976948788,0.9331443063576798,0.18119611240067454,58.8992722114658,48.13247426025701,77.94330282940632,106.72319147946683,41.1007277885342,74.4729209212077,1.645353611078575,0.0004884997572,0.007099172868060693,0.008235685971370636,0.01533485883943133,0.0001181170903839263,0.0005120604237704926,0.16025545102912295,0.14384871451483028,0.007533450981027888,0.0057288864923128995,0.0048239077813168095,88.83116698185302,4.6521461404947075,3.537770040803967,2.9789168368483088
4,0.00031442408114869133,0.007380887036314255,0.008460604928351422,0.015841491964665676,0.9331443037378266,1.0922284228823054,0.0009030946585847675,9.934041244432442e-05,4.515473292923837e-05,3.838152298985262e-05,0.01696870123854066,0.01205800340716016,0.1590841217132337,1.0922284254510604,0.18246135650184236,58.45893099358047,48.06054106242298,76.45668963978363,106.6649584873629,41.54106900641953,75.79639801447948,1.615591604581437,0.000205169898024,0.007021791883798831,0.008203566796082291,0.015225358679881121,0.00010925418312469134,0.0006161332847845549,0.23279419782004757,0.1402775325264102,0.007388956297511734,0.006594431526447693,0.0048232013628640635,88.17821100918896,4.644684974174309,4.145248096057548,3.0318559205791793
5,0.00019055910355293665,0.00736261343486199,0.008471518513943878,0.01583413194880587,1.0922284228823054,1.2500489481598294,0.0008945029560962949,9.839532517059245e-05,4.472514780481475e-05,3.801637563409254e-05,0.01682974371284547,0.012057144236911312,0.15782052781154154,1.2500489506938468,0.18303631568291007,58.260840496621135,48.02802407910128,75.79808109909185,106.63849593091217,41.739159503378865,76.3978197519979,1.6024691052358806,8.617135717008001e-05,0.006945254352265424,0.00817157288557757,0.015116827237842995,0.00010438774638285665,0.0007173047109628738,0.3149634435546206,0.13820907813648248,0.007318660549878777,0.007469931430415732,0.004822857694764525,87.5735749037174,4.6373311833161655,4.7331811228865055,3.0559127900799137
6,0.00013797925657958333,0.007343947476949224,0.008481971793873467,0.01582591927082269,1.2500489481598294,1.4072777051948748,0.0008897462281345838,9.787208509480421e-05,4.448731140672919e-05,3.7814214695719815e-05,0.0167646701327234,0.012056668564115141,0.15722875954131332,1.4072777077011427,0.18330831319231686,58.16756226719734,48.012678047972486,75.48973811739158,106.62597721709002,41.83243773280266,76.68233597522683,1.5963898527402276,3.619197001143361e-05,0.006869551079825731,0.008139703751323817,0.015009254831149548,0.00010178728656814972,0.0008166644396731433,0.40680861617874986,0.13677678910146346,0.007279741866555685,0.008349561147648118,0.004822667425646057,86.99222044394752,4.630031991470914,5.310454125572487,3.067293439009074
7,0.00011558758782202012,0.007325157477257543,0.008492153026089227,0.015817310503346768,1.4072777051948748,1.5641988697761127,0.0008866118446741769,9.752730291415946e-05,4.433059223370885e-05,3.768100339865252e-05,0.016730848751375548,0.0120563551257691,0.15692116706281262,1.5641988722576874,0.18345010055668065,58.11904769486439,48.00468777898301,75.32951630763951,106.61945143881393,41.88095230513561,76.83064911786673,1.5932898091168788,1.5200627404802116e-05,0.006794672973055631,0.008107958906693654,0.014902631879749285,0.000100386960417218,0.000914678623597483,0.50831517458022,0.13561665915594623,0.007254096910970538,0.009227868945588191,0.00482254205030764,86.42343266645565,4.622765078000509,5.88057629082917,3.0732259647146685
8,0.00010598004672865607,0.0073063564862612534,0.008502142152630123,0.015808498638891375,1.5641988697761127,1.7209324624216704,0.0008841643546945423,9.725807901639965e-05,4.420821773472712e-05,3.757698507451805e-05,0.01671022660484512,0.012056110376771137,0.1567335951038459,1.7209324648799587,0.18353650959487483,58.089518368376716,47.999821423898766,75.23184576110262,106.6154744537923,41.910481631623284,76.92103514108253,1.5914478685620033,6.384263510016889e-06,0.006720611037649324,0.008076337866957549,0.014796948904606873,9.959578321863918e-05,0.0010115497342845017,0.6194297263305341,0.1345757560737899,0.007234071992955346,0.01010132288639219,0.004822444150708455,85.86273796924327,4.615520998010871,6.4448996271025525,3.0768414056433024
9,0.00010178633508634152,0.007287591916381725,0.00851197332059692,0.015799565236978647,1.7209324624216704,1.8775289907285697,0.0008820082664807522,9.702090931288274e-05,4.410041332403761e-05,3.748535132543197e-05,0.016695159011897664,0.012055894767949757,0.15659653074261323,1.8775289931642836,0.18359955768818106,58.067989923902765,47.996272196039634,75.1604971447795,106.61257265870303,41.932010076097235,76.98698502947803,1.5901351572064986,2.6813906742070937e-06,0.006647356377338947,0.008044840149276413,0.01469219652661536,9.910494441213443e-05,0.0011073687103632865,0.7400770918080761,0.13358979924808698,0.0072164312712061545,0.01096794231614019,0.004822357907179903,85.30827510327109,4.608295750221503,7.003949745328285,3.0794794011791202
