Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.1902705230259884,0.004442267058751957,0.0005330720470502348,3.10958694112637e-05,0.0001887963499969582,0.020354640352876763,0.013070998712930685,0.19027058451132467,0.19027058451132467,0.175674233364317,60.895291523979914,48.452732726639894,92.19129777068763,106.97733653971764,39.104708476020086,68.69689682459938,1.6356600000000003,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.0,0.0,0.14869636363636365,0.036345821389788736,0.0,0.005228399485172274,78.1499484107137,19.102175716302316,0.0,2.7478758729839745
1,0.0011810414442034144,0.0027373887371958754,0.0032975223790133227,0.006034911116209198,0.1902705230259884,0.2776751751273803,0.0020378146712806042,0.0002445377605536725,1.426470269896423e-05,8.660712352942568e-05,0.009049985764565156,0.01283055347418355,0.08740481924935666,0.27767534227534507,0.25033561566354656,41.360889993690584,44.757178965091136,39.11993137554899,103.54103860962756,58.639110006309416,146.794577053919,0.7215952560412613,0.0010865934000000004,0.0024813808866,0.0029703104340000007,0.005451691320600001,9.444804420341395e-05,0.0005832197956091969,0.06776678398126108,0.059438952005454564,0.01667302912865949,0.006160616725569189,0.00513222138967342,68.0042044774231,19.075640533153113,7.0483719072670405,5.87178308215676
2,0.0006551059065140517,0.0028249904594663416,0.0034347649719164426,0.006259755431382784,0.2776751751273803,0.36167645615412486,0.0019567882908359375,0.0002348145949003125,1.3697518035851562e-05,8.316350236052735e-05,0.00867597079964918,0.012822450836139082,0.08400144214944819,0.36167661727682854,0.2559291969956909,40.356315205979385,44.51938675077694,37.396926906743005,103.28359344371293,59.643684794020615,152.64560355197796,0.6914861337896836,0.0005628553812000002,0.00245433383493606,0.002958726223307401,0.005413060058243461,9.225052531405147e-05,0.000846695373139323,0.16166137382659854,0.05432650399494056,0.016010086015930396,0.008535871804121586,0.005128980334455633,64.67329917775399,19.059298990899013,10.161577689267872,6.10582414207912
3,0.00038094857779862127,0.0029069677726590334,0.003565504014867773,0.006472471787526806,0.36167645615412486,0.4449703671406486,0.0019386879419803975,0.00023264255303764769,1.3570815593862783e-05,8.23942375341669e-05,0.008598239513107786,0.01282064080125353,0.08329407007602674,0.4449705262301516,0.2571477212580825,40.143272603015966,44.46807892694461,37.03927282287212,103.2275107370757,59.856727396984034,153.92021052100682,0.6853420365325428,0.00029155908746160013,0.002427581596135257,0.002947187191036502,0.005374768787171759,8.938949033702114e-05,0.0010977030003550478,0.28037062289580544,0.05151207158757599,0.01586199225256689,0.010791749915382443,0.005128256320501412,61.84362409059648,19.043363156691516,12.95620433187172,6.156808420840273
4,0.00023855024591504868,0.0029870084100333803,0.003694399926047205,0.006681408336080585,0.4449703671406486,0.5289956914482542,0.001954076325852602,0.00023448915910231224,1.3678534280968216e-05,8.30482438487356e-05,0.008678627275262975,0.01282217963964075,0.08402548344915607,0.5289958505898047,0.2558843583198647,40.36419335149327,44.52127804726846,37.40921911696033,103.28565714845804,59.63580664850673,152.59870117140667,0.6919958581995633,0.00015102760730510887,0.0024011209567373825,0.00293569316099146,0.005336814117728843,8.752263860993981e-05,0.0013445942183517422,0.42358230859197366,0.049889470227581376,0.01598789721152129,0.01301924415419711,0.0051288718558563,59.374213845219415,19.027438528450226,15.49439957947409,6.103948046856269
5,0.0001651150859077307,0.003067063437022902,0.0038239266326618145,0.006890990069684716,0.5289956914482542,0.6145341735179939,0.0019875802028055255,0.00023850962433666305,1.391306141963868e-05,8.447215861923484e-05,0.00884492733811742,0.012825530027336041,0.08553864235745641,0.6145343338057107,0.25334114229794574,40.815600653716686,44.628939640908406,38.17498906736175,103.40270893189367,59.184399346283314,149.9384333660521,0.7056105155592447,7.82323005840464e-05,0.0023749487383089452,0.002924243957663593,0.005299192695972538,8.688278532368431e-05,0.0015917973737121782,0.5914503244955599,0.048885681786878035,0.016262019841136118,0.015260728718507841,0.005130212010934417,57.15040645909511,19.011313942976738,17.840742263286064,5.997537334642086
6,0.00012778800652608755,0.0031481766926470347,0.003955416039618851,0.007103592732265886,0.6145341735179939,0.7020245003154284,0.0020311754333787674,0.0002437410520054521,1.4218228033651373e-05,8.632495591859762e-05,0.009059438628832864,0.012829889550393367,0.08749048880954702,0.7020246623275409,0.25019094620531657,41.38746769501405,44.76337983759153,39.163699827583045,103.54769703657539,58.61253230498595,146.6432491687412,0.7231380738791973,4.052433170253604e-05,0.0023490617970613778,0.0029128394062287047,0.005261901203290082,8.726367482355151e-05,0.0018416915289758036,0.7843458448754954,0.04820386849993289,0.016618708091280826,0.017535956398175956,0.005131955820157347,55.09612433971549,18.994873977052674,20.04327171648219,5.865729966749648
7,0.0001093794674592269,0.0032309182069228007,0.004089603809121938,0.007320522016044738,0.7020245003154284,0.7917265684911028,0.002080679005465442,0.00024968148065585303,1.4564753038258094e-05,8.842885773228129e-05,0.009302512588422863,0.012834839907602034,0.08970223222143048,0.7917267325368589,0.246787085982194,42.02179366341694,44.91004288025394,40.285310955189395,103.70436005939693,57.97820633658306,143.0827259227971,0.7429901483503966,2.099160382191367e-05,0.0023234570234734087,0.002901479332544413,0.0052249363560178215,8.838786363731323e-05,0.0020955856600269164,1.0027431972419183,0.047690254180361234,0.017023737317444526,0.019854304760583905,0.005133935963040814,53.16506958560135,18.97805316084145,22.133568216645312,5.723309036911884
8,0.00010089635086004469,0.0033156107295523153,0.0042269146187489766,0.007542525348301292,0.7917265684911028,0.8838074301072989,0.002133915742578694,0.0002560698891094433,1.4937410198050858e-05,9.06914190595945e-05,0.009563945867482162,0.012840163581313358,0.09208102786418136,0.8838075963552842,0.2433086377124435,42.68835540792421,45.061480957367266,41.493074836366134,103.86445600486658,57.31164459207579,139.4441817075769,0.7643421699161337,1.0873650779751281e-05,0.0022981313419175487,0.0028901635631474894,0.005188294905065038,9.00227000802934e-05,0.002354230443236254,1.247168511573573,0.04726516868949808,0.017459310621098404,0.022220483121059523,0.005136065432525343,51.329975116278845,18.960812043552252,24.131445571865818,5.577767268303076
9,9.763397476470994e-05,0.003402448136845005,0.0043676112690022185,0.007770059405847223,0.8838074301072989,0.97838626449287,0.0021897600325295526,0.0002627712039035463,1.532832022770687e-05,9.3064801382506e-05,0.009838477409888531,0.012845748010308446,0.09457900293038275,0.9783864330376817,0.23984420132758494,43.37144966443866,45.213945318178695,42.7628986674219,104.0239070518684,56.62855033556134,135.82029427571652,0.7867693380611933,5.632551103911164e-06,0.002273081710290647,0.0028788919252512144,0.005151973635541861,9.200142366079877e-05,0.002618085770305362,1.518177230970189,0.04688732896950702,0.017916218447969066,0.02463715630878328,0.005138299204123379,49.574776130828546,18.94312468186702,26.049287416275764,5.432811771028663
