Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.16660602939224106,0.001599855785216109,0.00019198269422593308,1.1198990496512763e-05,6.799387087168463e-05,0.0177964702066945,0.012049967508821582,0.16660607979166045,0.16660607979166045,0.17914374885261575,59.62678151517814,48.25028404429238,80.38790673453659,106.81765172644864,40.37321848482186,72.32609712616711,1.6356600000000003,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.0,0.0,0.14869636363636365,0.013089729151768165,0.0,0.004819987003528633,89.2502625488261,7.856693566127218,0.0,2.8930438850466844
1,0.001112625448287473,0.0025735805755020044,0.0030961366968452414,0.005669717272347246,0.16660602939224106,0.23870516728002739,0.000691515328045726,8.298183936548712e-05,4.840607296320082e-06,2.9389401441943357e-05,0.007404706515875872,0.011959133463104545,0.07209916716593157,0.23870519655817263,0.2685723114445385,38.23986628640668,43.99503542771923,31.7200541377421,102.70169277870323,61.76013371359332,165.87061866583528,0.6782342720634719,0.0010865934000000004,0.0024813808866,0.0029703104340000007,0.005451691320600001,2.6032048287472596e-05,0.00021802595174724455,0.024405800003471714,0.059438952005454564,0.005657852684010486,0.002218709091224701,0.004783653385241818,82.44055284114401,7.847320442674884,3.0773019695477006,6.634824746633411
2,0.0005875919716594361,0.0025853805755843076,0.0031384484092191202,0.005723828984803428,0.23870516728002739,0.30615267667428286,0.000646449544446865,7.75739453336238e-05,4.525146811128055e-06,2.7474105638991764e-05,0.006893225546465043,0.011954626884744659,0.0674475375399437,0.3061527048199711,0.27944463383926577,36.57300252972438,43.55716531282408,29.378235425702357,102.2012930032137,63.42699747027562,177.24334083605208,0.6311420956462864,0.0005628553812000002,0.00245433383493606,0.002958726223307401,0.005413060058243461,2.473659045943593e-05,0.0003107689265599671,0.05795635170541202,0.05432650399494056,0.005289132636383441,0.003050050154721846,0.004781850753897863,80.54631195804203,7.841846906940253,4.522107501575649,7.089733633442083
3,0.0003148913430125547,0.0025944548145569114,0.0031770507494890956,0.0057715055640460075,0.30615267667428286,0.37137582101246636,0.0006247156087628788,7.496587305154546e-05,4.373009261340152e-06,2.6550413372422353e-05,0.006648640954945153,0.01195245349117626,0.06522317189597189,0.37137584857025474,0.2851915033477573,35.743278301194195,43.33008852611008,28.261258122061566,101.93679273294843,64.2567216988058,183.25471061480883,0.6086396907058562,0.00029155908746160013,0.002427581596135257,0.002947187191036502,0.005374768787171759,2.333225555095457e-05,0.0003967367768742489,0.09996325494793237,0.05151207158757599,0.0051113095262417365,0.003818809385683668,0.004780981396470504,78.97817614533604,7.836646666608075,5.854988763463546,7.330188424592352
4,0.00017327877370856568,0.002602177617611246,0.003213793199121798,0.005815970816733044,0.37137582101246636,0.4356367596672933,0.000615101121523908,7.381213458286896e-05,4.305707850667356e-06,2.614179766476609e-05,0.006542840599813127,0.011951492042452362,0.0642609659061912,0.43563678691865754,0.28780041478467205,35.37754363118048,43.22793343542732,27.778687566890966,101.81671731116576,64.62245636881951,185.98369747350628,0.598924959044161,0.00015102760730510887,0.0024011209567373825,0.00293569316099146,0.005336814117728843,2.225116640345681e-05,0.0004791566990042014,0.1501040414886982,0.049889470227581376,0.005032645539741066,0.004558253321887802,0.0047805968169809445,77.63573037543588,7.831574687326941,7.093347038296913,7.439347898940249
5,9.976702071076964e-05,0.002609262159212706,0.0032496361881705397,0.005858898347383246,0.4356367596672933,0.49959240852004577,0.000611786577531371,7.341438930376452e-05,4.2825060427195974e-06,2.6000929545083272e-05,0.00650927328787225,0.011951160588053109,0.0639556759431508,0.4995924356104441,0.2886441837052048,35.26067334940123,43.19501511343881,27.62566388954592,101.77788275833787,64.73932665059877,186.86630094686691,0.5958665368094016,7.82323005840464e-05,0.0023749487383089452,0.002924243957663593,0.005299192695972538,2.153472012672324e-05,0.0005597056514107081,0.2082280786424413,0.048885681786878035,0.005005526543438491,0.005284003377613013,0.004780464235221243,76.436815131673,7.826555609994374,8.261977220457933,7.474652037874674
6,6.16340000659477e-05,0.0026160784621404205,0.0032850787056381836,0.005901157167778604,0.49959240852004577,0.5635852729191176,0.0006117510853803821,7.341013024564586e-05,4.282257597662675e-06,2.5999421128666244e-05,0.006513367144686896,0.01195115703883801,0.0639928914035979,0.5635852999236437,0.2885402390567206,35.27503378883974,43.199067207790506,27.644332165648663,101.78266682165717,64.72496621116025,186.7575722350634,0.5962791167844552,4.052433170253604e-05,0.0023490617970613778,0.0029128394062287047,0.005261901203290082,2.1109668363411657e-05,0.0006392559644885221,0.27426464192763467,0.04820386849993289,0.005005236153112218,0.0060033239350175795,0.004780462815535204,75.32691122817855,7.821550243049037,9.381235639369862,7.47030288940254
7,4.188051786150873e-05,0.0026228184219535614,0.003320380205883153,0.005943198627836714,0.5635852729191176,0.6277945293499101,0.0006134263844123165,7.361116612947797e-05,4.293984690886215e-06,2.607062133752345e-05,0.006537162891669308,0.011951324568741203,0.06420928338812655,0.6277945563072442,0.2879410341438159,35.35801890591303,43.22244334169835,27.75282113254355,101.81024529045192,64.64198109408697,186.13078885336398,0.5985079145698223,2.099160382191367e-05,0.0023234570234734087,0.002901479332544413,0.0052249363560178215,2.0888914039595064e-05,0.0007182622718188928,0.3481797605134835,0.047690254180361234,0.0050189431451916795,0.006719556235077162,0.0047805298274964814,74.27314504055035,7.816538170740234,10.465085234574863,7.445231554134565
8,3.167547370244427e-05,0.0026295814636879493,0.003355675790038443,0.005985257253726392,0.6277945293499101,0.6923145095402614,0.0006159982871228178,7.391979445473813e-05,4.3119880098597245e-06,2.617992720271976e-05,0.006571331185839373,0.011951581759012253,0.06452000712032648,0.6923145364702366,0.28708789368710635,35.47676980075561,43.255776882673246,27.908630324653306,101.84951116921273,64.52323019924438,185.2383825178936,0.6016932727428836,1.0873650779751281e-05,0.0022981313419175487,0.0028901635631474894,0.005188294905065038,2.080182292269299e-05,0.0007969623486613541,0.42995617767188815,0.04726516868949808,0.005039985985550327,0.007434219741673156,0.004780632703604902,73.25660798727283,7.811508724961877,11.522347987049537,7.409535300715744
9,2.6431109534769287e-05,0.002636419007020639,0.0033910359977140877,0.006027455004734727,0.6923145095402614,0.7571954715177968,0.0006190440720060424,7.428528864072509e-05,4.3333085040422975e-06,2.6309373060256804e-05,0.006611025779074934,0.011951886337500576,0.0648809888902269,0.7571954984304883,0.2861071083238633,35.61416300178303,43.294172220342595,28.089687068396167,101.89465191814861,64.38583699821697,184.2124564057147,0.6053886114269497,5.632551103911164e-06,0.002273081710290647,0.0028788919252512144,0.005151973635541861,2.0798558430858124e-05,0.0008754813691928655,0.5195841704342605,0.04688732896950702,0.0050649060436858025,0.00814799934203385,0.004780754535000231,72.2666682051292,7.80645629840074,12.558377240241466,7.368498256228584
