Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.1894088114958129,0.004399002152018807,0.0005278802582422569,3.079301506413165e-05,0.00018695759146079933,0.020315701936816928,0.011801674697236446,0.189408869304503,0.189408869304503,0.16956638172217744,63.254549611242595,48.81986974822394,92.46916328604208,107.25845105044372,36.745450388757405,62.30793067173372,1.6356600000000003,0.010865934000000002,0.002508726,0.0029819400000000006,0.005490666000000001,0.0,0.0,0.0,0.14869636363636365,0.03599183578924479,0.0,0.004720669878894578,78.50549141778153,19.002191355349122,0.0,2.492317226869348
1,0.0011936745301417495,0.002734895380620844,0.0032807825881278766,0.006015677968748721,0.1894088114958129,0.27600593140659524,0.002008436258487704,0.00024101235101852447,1.405905380941393e-05,8.535854098572743e-05,0.009016945131529404,0.011562618107883334,0.08659727571160246,0.2760060872074154,0.23764677433906212,43.81504615346109,45.31152953565409,39.238550161134555,104.12504385887159,56.18495384653891,133.5217304801905,0.720935249889047,0.0010865934000000004,0.0024813808866,0.0029703104340000007,0.005451691320600001,0.00010708113014174913,0.0005639866481487194,0.06710677782904685,0.059438952005454564,0.01643266029671758,0.006100616166276987,0.004625047243153334,68.63836248545036,18.975955261507032,7.044813033834983,5.3408692192076215
2,0.000667213044977852,0.0028208312025487232,0.0034097386673254053,0.0062305698698741285,0.27600593140659524,0.35908663441762567,0.0019252463816721297,0.00023102956580065557,1.3476724671704908e-05,8.182297122106552e-05,0.008630504658356897,0.011554299120201778,0.08308085290587068,0.35908678431246593,0.24295373810651347,42.757436500446225,45.0770232679997,37.45037539563194,103.88079029635293,57.242563499553775,139.07294781016054,0.6897782914851981,0.0005628553812000002,0.00245433383493606,0.002958726223307401,0.005413060058243461,0.00010435766377785182,0.0008175098116306673,0.15929352536989877,0.05432650399494056,0.015752015850044696,0.00838061341280472,0.004621719648080711,65.38992089608378,18.959862951685736,10.087298239824072,5.562917912406422
3,0.00039248097596122894,0.002901036091416707,0.003532320454408453,0.0064333565458251606,0.35908663441762567,0.4413433487720942,0.0019045767803449458,0.00022854921364139349,1.3332037462414622e-05,8.094451316466021e-05,0.008539956624096842,0.01155223216006906,0.08225686217399891,0.4413434965916246,0.24426155159753915,42.50386414260125,45.01983404348,37.03190284010839,103.82059804362788,57.49613585739875,140.44095355391127,0.682583752178639,0.00029155908746160013,0.002427581596135257,0.002947187191036502,0.005374768787171759,0.00010092188849962882,0.001058587758653402,0.27524449008520185,0.05151207158757599,0.01558290093009501,0.01054099679230028,0.0046208928640276235,62.6234337490432,18.94419567954381,12.814732429256521,5.61763814215645
4,0.0002496666218630569,0.0029791755578715442,0.003652965356311462,0.006632140914183006,0.4413433487720942,0.5242124391246703,0.0019171722442077846,0.00023006066930493415,1.3420205709454493e-05,8.147982037883085e-05,0.008607262555833068,0.011553491706455343,0.0828692380992464,0.5242125868713405,0.24328393411971966,42.6931574278118,45.062562259483435,37.34300201243245,103.86559299030586,57.3068425721882,139.4183411294138,0.6881807536046063,0.00015102760730510887,0.0024011209567373825,0.00293569316099146,0.005336814117728843,9.8639014557948e-05,0.0012953267964541633,0.41464107118641297,0.049889470227581376,0.015685954725336418,0.012672416463746465,0.004621396682582137,60.202641380426854,18.92856153274934,15.29206344164724,5.576733645176549
5,0.000175995386996076,0.003057189180724439,0.0037740287039710377,0.006831217884695477,0.5242124391246703,0.6084728352417084,0.001947731737823679,0.00023372780853884146,1.3634122164765752e-05,8.277859885750636e-05,0.008760171835732864,0.011556547655816932,0.08426054484171645,0.6084729839663867,0.24111782720744082,43.1180429467288,45.1577007777473,38.050124713321885,103.96528828752365,56.8819570532712,137.15253891991716,0.7007213271691553,7.82323005840464e-05,0.0023749487383089452,0.002924243957663593,0.005299192695972538,9.77630864120296e-05,0.0015320251887229394,0.5776198986999098,0.048885681786878035,0.0159359869458301,0.014816257046681535,0.004622619062326773,58.01728659446702,18.912750891613474,17.58386095712281,5.486101556796682
6,0.00013857757083397929,0.0031361135987053213,0.0038967767282097627,0.0070328903269150835,0.6084728352417084,0.6945596373605406,0.0019882560663961528,0.00023859072796753833,1.3917792464773069e-05,8.45008828218365e-05,0.0089608983575056,0.01156060008867418,0.08608695237642967,0.6945597876181381,0.23838105403529755,43.66590666371994,45.27884388170158,38.9791767690384,104.09124855904481,56.33409333628006,134.28980547625275,0.7171467897749062,4.052433170253604e-05,0.0023490617970613778,0.0029128394062287047,0.005261901203290082,9.805323913144325e-05,0.0017709891236250015,0.7645241349755543,0.04820386849993289,0.016267549634150343,0.01699129420687677,0.004624240035469672,55.99439539821711,18.896649474844626,19.737362907888155,5.371592219050113
7,0.0001201815909774302,0.0032165131575858435,0.004021906155506638,0.007238419313092482,0.6945596373605406,0.7827284132484303,0.002034567775217529,0.0002441481330261035,1.4241974426522704e-05,8.6469130446745e-05,0.009189711901765688,0.011565231259556318,0.08816892797441969,0.7827285653349603,0.23539974499115618,44.27722027633026,45.412045739580705,40.039313899841424,104.22846361965392,55.72277972366974,131.17128137150223,0.7358600904069912,2.099160382191367e-05,0.0023234570234734087,0.002901479332544413,0.0052249363560178215,9.918998715551652e-05,0.0020134829570746604,0.9757914293985721,0.047690254180361234,0.01664646361541615,0.019206117674819792,0.004626092503822527,54.089638238765396,18.880192827393525,21.783317678981003,5.246851254860088
8,0.00011177979955253376,0.0032987053050539438,0.004149816159297585,0.007448521464351529,0.7827284132484303,0.8731412773269313,0.0020844898892939607,0.0002501387867152753,1.4591429225057725e-05,8.859082029499334e-05,0.009436342164268627,0.011570223470963962,0.09041301815446401,0.8731414314028944,0.23234005527107182,44.92091819350911,45.55013851324603,41.18325500336464,104.36928615907202,55.07908180649089,127.9707691119998,0.7560301263904062,1.0873650779751281e-05,0.0022981313419175487,0.0028901635631474894,0.005188294905065038,0.00010090614877278248,0.002260226559286491,1.2119047002044994,0.04726516868949808,0.017054917276041498,0.02146484280053885,0.004628089388385584,52.2769504373242,18.86334249665731,23.740876301538503,5.118830764479992
9,0.00010864288272860708,0.0033828785695488666,0.004280750710007713,0.007663629279556579,0.8731412773269313,0.9659119930920149,0.0021368926046771222,0.00025642711256125463,1.4958248232739856e-05,9.08179356987777e-05,0.009695475506494597,0.011575463742502278,0.09277087191967906,0.9659121492466103,0.2292846753387555,45.58085279168775,45.68949647093123,42.386544251793886,104.50991034005732,54.41914720831225,124.77476499869817,0.7772272162285186,5.632551103911164e-06,0.002273081710290647,0.0028788919252512144,0.005151973635541861,0.00010301033162469592,0.002511655644014718,1.4733712977684408,0.04688732896950702,0.01748366676554009,0.023769690687631035,0.004630185497000911,50.541002794607806,18.846073561405603,25.621933044038663,4.990990599947925
