Simunation No.,fc1 (g/g),fc2 (g/g),fc3 (g/g),si (g/cm2/yr),r0 (g/cm2),Total Accretion (cm),Mean Accretion (cm/yr),Mean OM%,Mean OM Density (mg/cm3),Mean BD (g/cm3),C_Seq (g/m2/yr),OC Density (mg/cm3),IM(%),IM Density (mg/cm3),Necromass (Mg/ha),Root Necromass (Mg/ha),Root Necromass Projected Up to 40 cm (Mg/ha),Sites
620,0.289863543,0.15545962,0.298479387,0.017849952,0.004781401,14.86632348,0.148663235,51.87806788,105.6480561,0.204556189,72.48267049,46.89879283,48.12194478,98.90813282,151.1152628,33.94541272,137.2461106,Rookery Bay
621,0.275073322,0.145536292,0.449015211,0.024455762,0.00545413,16.03049074,0.160304907,44.13335178,104.146916,0.237171826,74.99403863,45.35156538,55.86665917,133.0249105,159.6820221,42.51217199,153.7405926,Rookery Bay
622,0.265529089,0.137664899,0.324988108,0.019600379,0.005125816,15.19458243,0.151945824,49.50503777,105.2333998,0.213565665,73.20821994,46.45150392,50.49497995,108.3322652,153.3947029,36.22485279,141.6364063,Rookery Bay
623,0.267484824,0.152158833,0.341675944,0.012243083,0.004918498,14.68067739,0.146806774,63.53093343,107.2731459,0.169247394,74.53525148,48.85209124,36.46907821,61.97424762,151.4401349,34.27028477,140.6299183,Rookery Bay
624,0.2538448,0.154134605,0.411528354,0.012312945,0.00605921,15.85765842,0.158576584,65.06625861,107.4501351,0.165401935,80.16325736,49.08749202,34.93375438,57.95180038,162.393921,45.22407095,164.6285258,Rookery Bay
625,0.261985958,0.17015721,0.411168975,0.023682467,0.006737294,17.31855763,0.173185576,47.03047655,104.7720016,0.223590227,81.59598601,45.96793016,52.96952668,118.8182252,171.8078079,54.63795782,175.3159392,Rookery Bay
626,0.28143243,0.146454151,0.466437237,0.026625973,0.006234767,17.07613527,0.170761353,43.20912395,103.9417163,0.241630041,79.11848358,45.15151475,56.79087835,137.6883243,168.683831,51.51398091,169.3183664,Rookery Bay
627,0.257423238,0.163971598,0.26001022,0.016519425,0.004639156,14.52051857,0.145205186,53.74229677,105.9486034,0.198026067,71.54588793,47.23527307,46.25771396,92.07746322,148.199813,31.02996294,129.8635614,Rookery Bay
628,0.260190369,0.176243153,0.270651391,0.025787408,0.00534797,15.69069116,0.156906912,42.0453796,103.6476161,0.248020284,72.87337306,44.87848962,57.95463267,144.3726677,155.6407585,38.47090843,143.7279836,Rookery Bay
629,0.243748171,0.125079116,0.389892922,0.015446066,0.006053562,15.86544346,0.158654435,57.98981074,106.582478,0.184253658,78.45139078,47.97181535,42.01019823,77.67117958,161.1048291,43.93497901,160.0971322,Rookery Bay
630,0.250254091,0.14410447,0.348682973,0.01348047,0.005574109,15.28673491,0.152867349,61.39730413,107.021692,0.174711009,76.72532673,48.52170567,38.60271578,67.68931717,156.489731,39.31988091,151.5306405,Rookery Bay
631,0.253809824,0.176341104,0.24658808,0.012325497,0.00572047,15.2708023,0.152708023,64.1907357,107.3507928,0.167560533,77.31955617,48.95419081,35.8092837,60.20974049,156.6420933,39.47224324,152.133592,Rookery Bay
632,0.26511645,0.151171498,0.380948875,0.021583702,0.004776834,15.07069116,0.150706912,46.35546783,104.6167499,0.226963696,71.73761361,45.81863558,53.64454629,122.3469465,151.6501499,34.48029979,136.8898617,Rookery Bay
633,0.275551722,0.173473078,0.329099007,0.02845859,0.005471704,16.1133231,0.161133231,39.85061613,103.0837875,0.260270613,73.77042086,44.35815914,60.14939098,157.1868258,158.7734812,41.60363112,149.5988838,Rookery Bay
634,0.274005591,0.163279441,0.277675654,0.020774261,0.005300106,15.42820665,0.154282067,48.09496394,104.9697935,0.219293104,73.77100757,46.17554118,51.90505351,114.3233109,155.1297728,37.95992272,145.0703632,Rookery Bay
635,0.293502806,0.151858164,0.295696026,0.01859938,0.005569225,15.66874314,0.156687431,51.88595972,105.6563459,0.204376133,75.90625679,46.90436701,48.1140553,98.7197873,158.2809356,41.1110855,153.1989422,Rookery Bay
636,0.282452351,0.159878494,0.181689285,0.024575227,0.004937469,15.16654176,0.151665418,42.63043382,103.782127,0.245097859,70.951353,45.00785527,57.36958364,141.3157317,151.148201,33.97835095,133.641408,Rookery Bay
637,0.244815237,0.151379754,0.351333497,0.010466215,0.00573889,15.27990155,0.152799015,69.29743537,107.8876824,0.155895413,78.48947283,49.70653105,30.70258513,48.00773065,157.5326241,40.36277398,155.2729836,Rookery Bay
638,0.283423214,0.145600442,0.341312821,0.016633382,0.005138924,15.16295419,0.151629542,54.57401872,106.0844086,0.195075535,74.46051283,47.38640692,45.42599777,88.99112674,154.3481863,37.17833623,145.6033926,Rookery Bay
639,0.258074556,0.132498334,0.128502161,0.020347942,0.004914056,14.7214973,0.147214973,47.57835912,104.8582759,0.221716033,70.73315369,46.0656016,52.42165655,116.8577569,148.3128458,31.14299569,127.6194577,Rookery Bay
640,0.3198378,0.176103992,0.328160392,0.016826879,0.004890321,15.10371324,0.151037132,54.11810864,106.0137692,0.196610256,74.06547835,47.30581146,45.88190469,90.59648715,153.9502447,36.78039463,145.1263217,Rookery Bay
641,0.279358644,0.149259474,0.320438623,0.024742718,0.005942994,16.3531017,0.163531017,44.28087116,104.1827786,0.236392401,76.42713741,45.38533754,55.7191306,132.2096219,162.3021251,45.13227504,158.1441654,Rookery Bay
642,0.283375233,0.151384936,0.170143059,0.02397711,0.005032023,15.19367826,0.151936783,43.40095389,103.9660253,0.241102273,71.32499124,45.18222183,56.59906448,137.1362481,151.5789257,34.40907562,134.8596457,Rookery Bay
643,0.278094152,0.147913131,0.290690205,0.021839954,0.00622789,16.42498203,0.16424982,48.1298812,104.9845894,0.218971247,78.04810481,46.18726778,51.8701209,113.9866577,163.9469532,46.7771031,162.4082999,Rookery Bay
644,0.278549064,0.133369667,0.057959304,0.014226004,0.005000453,14.46239728,0.144623973,58.39389993,106.6286599,0.18325037,72.48249505,48.0335337,41.60611384,76.62171049,148.1506983,30.98084823,129.862133,Rookery Bay
645,0.267904761,0.142315922,0.322773572,0.020966394,0.006072105,16.21385909,0.162138591,49.04746064,105.1572789,0.215219168,77.42447598,46.36752716,50.95254117,110.0618891,162.3208592,45.15100913,159.8060122,Rookery Bay
646,0.303921992,0.144828967,0.406595445,0.021530514,0.006029175,16.55307278,0.165530728,48.7636828,105.106278,0.216327277,78.79213852,46.31320195,51.23631893,111.2209985,165.7050961,48.53524601,166.6962441,Rookery Bay
647,0.295734809,0.169234284,0.241800577,0.021202901,0.0066994,16.94337314,0.169433731,49.81117437,105.300857,0.212099636,80.8769552,46.51746832,50.18882863,106.7987791,169.0178175,51.84796739,171.6091729,Rookery Bay
648,0.282872654,0.157172401,0.3466852,0.0243175,0.004804002,15.2623579,0.152623579,43.09434229,103.8958885,0.242626084,71.46702549,45.11463575,56.90567325,138.7301953,152.4496866,35.27983655,137.645781,Rookery Bay
649,0.266888059,0.143020068,0.212010485,0.011763572,0.005718169,15.17020122,0.151702012,65.50690107,107.4963601,0.164397772,77.17572921,49.15234775,34.49311909,56.90141155,155.8303571,38.66050702,150.406706,Rookery Bay
650,0.26522923,0.154299574,0.31062323,0.022803335,0.005548934,15.77588922,0.157758892,45.82190434,104.5132723,0.229211908,74.51660125,45.71200724,54.17810684,124.6986356,157.590462,40.42061196,149.4488864,Rookery Bay
651,0.288128783,0.168423085,0.464815002,0.014948256,0.00609455,16.35166364,0.163516636,59.74556729,106.8172108,0.179153525,81.08217261,48.26013591,40.2544406,72.33631463,166.389775,49.21992491,171.4416227,Rookery Bay
652,0.284422183,0.155775491,0.365669264,0.022170515,0.006025363,16.42898409,0.164289841,47.68411972,104.8980962,0.2208505,77.9062495,46.09815971,52.31588205,115.9524034,164.1211193,46.95126925,163.1222805,Rookery Bay
653,0.259642609,0.178325084,0.400260579,0.023020549,0.005452528,15.86713357,0.158671336,45.68187402,104.484864,0.229829179,74.83822845,45.68328282,54.31813854,125.3443147,158.5874156,41.41756556,151.9476793,Rookery Bay
654,0.272000024,0.157231262,0.370571494,0.018458548,0.006008112,16.15828494,0.161582849,52.88330908,105.8238675,0.200736118,78.33084738,47.08836393,47.11669684,94.91225017,162.9253131,45.75546304,162.5971653,Rookery Bay
655,0.256168981,0.2006602,0.117991832,0.007496135,0.005500177,14.66232338,0.146623234,78.57708396,108.6918859,0.138422143,77.56894292,50.97227696,21.42293169,29.73025706,152.6164962,35.44664611,144.8082094,Rookery Bay
656,0.271270847,0.166507222,0.355921342,0.016436818,0.004565943,14.62572288,0.146257229,54.07687374,106.0027687,0.196849183,72.04502275,47.29579529,45.92313618,90.84641383,149.4453449,32.27549478,133.773111,Rookery Bay
657,0.277004686,0.162734949,0.030346071,0.021358718,0.004567943,14.46921986,0.144692199,45.68249177,104.4629963,0.230304287,69.15296608,45.67040276,54.31752014,125.8412903,145.6116193,28.44176922,119.8170838,Rookery Bay
658,0.292193736,0.156130642,0.318522988,0.015200767,0.006834318,16.87388614,0.168738861,59.96479808,106.8461661,0.178524281,83.56969638,48.29592813,40.03520478,71.67811467,170.740491,53.57064089,177.7074417,Rookery Bay
659,0.233606209,0.12949777,0.277033336,0.018589617,0.004751383,14.60819523,0.146081952,50.18226697,105.3488129,0.211057931,70.98685845,46.57742526,49.81774584,105.7091185,148.0836258,30.91377569,128.2130445,Rookery Bay
660,0.288386135,0.135034842,0.39611477,0.018469813,0.005123341,15.32778228,0.153277823,51.56279256,105.5992044,0.205617716,74.33776523,46.84305585,48.43722462,100.0185119,155.3075216,38.13767153,147.1579329,Rookery Bay
661,0.25294578,0.157242469,0.137679449,0.016262971,0.005049641,14.6651427,0.146651427,54.47230735,106.0636528,0.195526474,72.37124997,47.36547156,45.52770806,89.46282153,149.3446911,32.17484102,132.26629,Rookery Bay
662,0.241449114,0.134929379,0.323127618,0.021499856,0.006457496,16.48318653,0.164831865,48.69229634,105.092072,0.216635954,78.49534383,46.29872189,51.30770619,111.5438816,164.3934759,47.22362585,162.9227203,Rookery Bay
663,0.287572496,0.181823232,0.42241515,0.019501516,0.005416556,15.80938434,0.158093843,50.64553324,105.4443453,0.208982361,76.13066438,46.67336906,49.35448307,103.5380156,159.572434,42.40258391,156.1419499,Rookery Bay
664,0.286606847,0.163675256,0.357068973,0.019672214,0.005315361,15.56664916,0.155666492,49.99104924,105.3257906,0.211558272,74.90677124,46.54752707,50.00896878,106.2324815,157.0608194,39.89096934,150.381733,Rookery Bay
665,0.260318343,0.158296393,0.273472761,0.019532425,0.003867383,14.03076523,0.140307652,47.67457748,104.8661002,0.221545784,67.9317444,46.0784236,52.3254282,116.6796836,142.5786795,25.40882937,112.5948578,Rookery Bay
666,0.307732984,0.158379204,0.20348459,0.023424939,0.006101952,16.3835645,0.163835645,45.95580685,104.5468138,0.228482912,77.14419731,45.74324726,54.0441951,123.9360985,162.9858876,45.81603752,159.8793428,Rookery Bay
667,0.242080966,0.175813282,0.52385146,0.016460648,0.005588801,15.78800106,0.157880011,55.88646889,106.2849695,0.190717893,77.51969328,47.61677161,44.11354761,84.43292305,160.4566348,43.28678472,159.3144662,Rookery Bay
668,0.268262232,0.168117877,0.361328856,0.019082338,0.005188261,15.34938038,0.153493804,50.58385969,105.4295216,0.209304486,74.15970088,46.65935052,49.41615855,103.8749646,155.1834605,38.0136104,146.3593958,Rookery Bay
669,0.259472835,0.141938253,0.162338523,0.014455725,0.005785172,15.2518662,0.152518662,59.13172702,106.7327152,0.180989597,76.05588798,48.15789611,40.86828932,74.25688227,155.4221247,38.2522746,147.7730174,Rookery Bay
