Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.03523386,0.00910134,0.0104208,0.01952214,0.0,0.5390729023083446,0.001868007427023297,0.00024284096551302863,0.00011208044562139781,7.939031564849013e-05,0.056437206684320965,0.06501853287637384,0.5390729284625583,0.5390729284625583,0.2253048393787606,46.46730314141945,45.873304960458704,247.29056843290476,104.69308270641687,53.53269685858055,120.61175667234373,5.4756,0.03523386,0.00910134,0.0104208,0.01952214,0.0,0.0,0.0,0.49778181818181816,0.015283697130190612,0.0,0.026007413150549535,92.34034801218773,2.835181720918518,0.0,4.824470266893749
1,0.0036595213889973376,0.00914980138110619,0.010487238058001091,0.01963703943910728,0.5390729023083446,0.783735772342707,0.0008444946154216105,0.00010978430000480937,5.0669676925296625e-05,3.589102115541845e-05,0.024056605981984065,0.06491618159521367,0.24466289065612243,0.783735792964467,0.3636546079325548,27.038161484050633,40.453127669900454,98.97379151799015,98.32552013699535,72.96183851594937,265.3290877955594,2.3296560828104615,0.0035233859999999964,0.009002135393999999,0.010380158879999999,0.019382294273999998,0.00013613538899734118,0.0002547451651072827,0.03908805541046238,0.2082334570363636,0.006909501398904085,0.0035534595827693078,0.02596647263808547,85.11035591786538,2.824090478279969,1.452390092032286,10.613163511822378
2,0.001598543494023457,0.009116825845401213,0.010494746517858205,0.019611572363259416,0.783735772342707,1.0088615284683677,0.0007752358601473006,0.00010078066181914908,4.6514151608838035e-05,3.2947524056260276e-05,0.021907828131415445,0.06490925571968624,0.2251257762098331,1.00886154855254,0.38563813221539783,25.234466719694414,39.7011620317519,89.37754918830501,97.3137261323457,74.76553328030559,288.3244060830521,2.1210115857282874,0.0014798221199999986,0.0089040121182054,0.010339676260367999,0.019243688378573397,0.00011872137402345827,0.00036788398468601963,0.08774859128141017,0.18839554998703087,0.006342838855750641,0.004423685079177072,0.025963702287874497,83.68457542215553,2.817464513632001,1.9649838208903656,11.532976243322087
3,0.0007278853851453295,0.009078734838430984,0.01049825559777426,0.019576990436205245,1.0088615284683677,1.2255041178737647,0.0007443774574217083,9.676906946482209e-05,4.46626474453025e-05,3.1636041940422604e-05,0.02097481553303011,0.06490616987941368,0.2166426091611301,1.225504137629498,0.39641779493418544,24.42311931133355,39.338658270436646,85.22429568605467,96.81759102813368,75.57688068866645,299.6002039060518,2.0304875821350574,0.0006215252903999995,0.008806958386116961,0.010299351522952563,0.019106309909069523,0.00010636009474533008,0.0004706805271357216,0.14545265346951533,0.17934395635881384,0.006090361015268522,0.005245823835282288,0.02596246795176547,82.78332552089279,2.811247999113026,2.4214183237521176,11.984008156242075
4,0.00035996010149552215,0.009038619666701272,0.010499982106164762,0.019538601772866034,1.2255041178737647,1.4383322904963913,0.0007297026171774021,9.486134023306228e-05,4.3782157030644125e-05,3.1012361230039594e-05,0.02055529422982122,0.06490470239538924,0.21282819213834858,1.4383323100121133,0.40154453113832467,24.05253339754692,39.167555391552945,83.35960004462841,96.58163245806874,75.94746660245308,304.96289868025593,1.9898561874361558,0.0002610406219679998,0.008710962539708286,0.010259184052013048,0.018970146591721332,9.891947952752234e-05,0.0005684551811447024,0.21219011953673783,0.174828974669903,0.005970294140542382,0.006067042369747497,0.025961880958155697,82.14559025913998,2.805217711317776,2.8506760823320003,12.198515947210238
5,0.00020436201922437785,0.008997781704222102,0.010500860680110958,0.019498642384333062,1.4383322904963913,1.6493181444674698,0.0007218547588409705,9.384111864932616e-05,4.331128553045823e-05,3.067882725074125e-05,0.020352673686514312,0.0649039176095556,0.21098587328486146,1.6493181637812528,0.4040867285031977,23.87225829359719,39.0830074679737,82.45962461229195,96.46462755843018,76.12774170640282,307.62210094476757,1.970300440355744,0.00010963706122655992,0.008616013048025466,0.010219173234210196,0.018835186282235662,9.472495799781792e-05,0.0006634561020973997,0.2880082255462596,0.17222566675874748,0.005906084390517032,0.006892555091774706,0.025961567043822242,81.62900391260695,2.7992795434900812,3.266832506112274,12.304884037790705
6,0.00013843889372848345,0.008956768502332459,0.010501285967405374,0.019458054469737834,1.6493181444674698,1.8592949120226026,0.0007168918154502703,9.319593600853514e-05,4.301350892701622e-05,3.0467902156636493e-05,0.02024169599737156,0.06490342131521654,0.20997678668400988,1.8592949311514797,0.40549776314427266,23.77317295019919,39.036162602790036,81.96687987808366,96.399684541477,76.22682704980082,309.0980786027957,1.9596493363466319,4.604756571515517e-05,0.008522098505801988,0.010179318458596777,0.018701416964398764,9.239132801332828e-05,0.0007566375053390702,0.3729111088814994,0.17043149572830837,0.005865478490047666,0.007718443939567258,0.025961368526086614,81.16682725733276,2.7933937758912917,3.67585582266415,12.363923144111826
7,0.00011038949496945082,0.008915810023668378,0.01050142510690063,0.01941723513056901,1.8592949120226026,2.0686148575448082,0.0007131526456929658,9.270984394008555e-05,4.278915874157795e-05,3.0308987441951046e-05,0.02016946200666213,0.0649030473982408,0.20931996447440657,2.068614876497009,0.4064232937288922,23.708554205995615,39.00546777609909,81.64623129200663,96.35708689950718,76.29144579400439,310.06620682938507,1.9527624625538458,1.9339977600365174e-05,0.008429207632088745,0.01013961911660825,0.018568826748696997,9.104951736908564e-05,0.0008484083818720116,0.46685689880560916,0.16898333387543057,0.005834885282942448,0.008540526356737247,0.025961218959296324,80.72967827017384,2.7875436046406725,4.080129852010123,12.402648273175389
8,9.833624679174454e-05,0.008875002411052421,0.010501349364548367,0.01937635177560079,2.0686148575448082,2.2774271245385895,0.0007099371946577357,9.229183530550565e-05,4.259623167946414e-05,3.0172330772953768e-05,0.020113631497584494,0.06490272585313728,0.20881228577384123,2.2774271433186493,0.4071425061780163,23.65854304320383,38.98163267430295,81.39843821917447,96.32398507130479,76.34145695679616,310.81852110671144,1.9474688022392532,8.122790592153373e-06,0.008337329268898979,0.010100074602053477,0.018437403870952454,9.021345619959116e-05,0.0009389479046483344,0.5697730348904017,0.1676866060140419,0.005808577047199656,0.009356012371344778,0.025961090341254912,80.30495207339409,2.781721882730006,4.480585199607467,12.432740844268448
9,9.303954907901219e-05,0.008834385420009644,0.010501089599344586,0.01933547501935423,2.2774271245385895,2.4857950761998224,0.0007069504064790863,9.190355284228122e-05,4.241702438874518e-05,3.0045392275361172e-05,0.02006476993426442,0.06490242717431942,0.20836797027213158,2.485795094810721,0.40777475058962026,23.61472499630963,38.96069214811185,81.18160343299438,96.2948859561263,76.38527500369037,311.47986463349395,1.9428514568433242,3.411572048704417e-06,0.00824645237986798,0.010060684311105468,0.018307136690973447,8.962797703030777e-05,0.0010283383283807845,0.6815696654315109,0.16645952966383776,0.005784139689374343,0.010163330049191748,0.02596097086972777,79.88729239260678,2.775925532998269,4.8775874890552,12.459194585339755
