Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),crp(g/cm2),lrp(g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cm3),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.03523386,0.00910134,0.0104208,0.01952214,0.0,0.5349452095559484,0.0020576845450747776,0.0002674989908597211,0.00012346107270448664,8.745159316567805e-05,0.0566079160905673,0.05081947918626475,0.5349452106796632,0.5349452106796632,0.20081943558358523,52.69411582091617,47.06998405350085,251.798625361884,105.82002597732453,47.30588417908383,94.99940960626071,5.4756,0.03523386,0.00910134,0.0104208,0.01952214,0.0,0.0,0.0,0.49778181818181816,0.01683560082333909,0.0,0.0203277916745059,93.05286003951173,3.1471635762378316,0.0,3.799976384250428
1,0.003684146266850863,0.00916479535728816,0.010487309140917868,0.01965210449820603,0.5349452095559484,0.7748976650572963,0.0009194150509303421,0.00011952395662094447,5.516490305582053e-05,3.9075139664539544e-05,0.0241637243108942,0.05070565223685031,0.2399524819028692,0.7748976914588176,0.3120175126092299,32.27450985315057,42.304536244807586,101.51078467691468,100.70212285062122,67.72549014684944,211.3153897586087,2.3336250765056894,0.0035233859999999964,0.009002135393999999,0.010380158879999999,0.019382294273999998,0.00016076026685086673,0.000269810224206031,0.043057049105689776,0.2082334570363636,0.007522486780339162,0.003914277191426343,0.020282260894740122,86.78112240599987,3.1349901950104453,1.6312718086453513,8.45261559034435
2,0.0016191723690827694,0.009137578847669763,0.010494285537894013,0.019631864385563774,0.7748976650572963,0.9952605366265259,0.0008424133780394747,0.00010951373914513172,5.054480268236848e-05,3.580256856667768e-05,0.022009208794882072,0.05069795206956122,0.22036289714493423,0.9952605622022306,0.32994284340264074,30.271033187386436,41.64602316055402,91.77238318224718,99.87710762581983,69.72896681261356,230.0657357768209,2.1251036754646546,0.0014798221199999986,0.0089040121182054,0.010339676260367999,0.019243688378573397,0.0001393502490827708,0.0003881760069903775,0.09580967471300461,0.18839554998703087,0.006892473093050248,0.004795693237028621,0.02027918082782449,85.49331690040442,3.127782935489825,2.1762707330329114,9.202629431072841
3,0.0007458674392967062,0.009104572015764183,0.010497225001835024,0.019601797017599207,0.9952605366265259,1.207129590028593,0.0008081942791035877,0.00010506525628346641,4.849165674621526e-05,3.434825686190248e-05,0.021075039308089145,0.05069453015966763,0.21186907850104109,1.207129615127567,0.33874489838499067,29.36486795780115,41.32927611388654,87.5639564536423,99.47199212454018,70.63513204219885,239.27290626045047,2.0347664456895913,0.0006215252903999995,0.008806958386116961,0.010299351522952563,0.019106309909069523,0.00012434214889670676,0.0004954871085296846,0.15779260045564375,0.17934395635881384,0.006612498647211172,0.005634811431149012,0.02027781206386705,84.64848085792404,3.121030541121969,2.6595723505359583,9.57091625041802
4,0.00037640594078735705,0.009069219938555494,0.010498371103184414,0.019567591041739905,1.207129590028593,1.4151959899874436,0.0007920239555481486,0.00010296311422125932,4.752143733288892e-05,3.366101811079632e-05,0.0206568185425206,0.050692913127312084,0.2080664247283848,1.4151960147569778,0.3429180453452519,28.951501370893716,41.18048713476142,85.68276726703053,99.27992259917254,71.04849862910629,243.63812274607938,1.9943996982527263,0.0002610406219679998,0.008710962539708286,0.010259184052013048,0.018970146591721332,0.00011536531881935723,0.0005974444500185735,0.22907357733943678,0.174828974669903,0.006480195999939398,0.006480088807617553,0.020277165250924833,84.02555813516244,3.114484236656063,3.114432718338303,9.745524909843171
5,0.0002199687761096495,0.00903297493491132,0.010498670693915402,0.01953164562882672,1.4151959899874436,1.6214431631209358,0.0007834741960334917,0.00010185164548435393,4.7008451762009496e-05,3.3297653331423395e-05,0.020456741181366513,0.050692058151360624,0.20624719763660346,1.621443187624047,0.34496856271515286,28.752053967489495,41.1076901961191,84.78345904263239,99.18554732273358,71.2479460325105,245.78301539241923,1.975161440493637,0.00010963706122655992,0.008616013048025466,0.010219173234210196,0.018835186282235662,0.00011033171488308957,0.0006964593465910579,0.30975268348685153,0.17222566675874748,0.006410243422092205,0.007334464195219523,0.02027682326054425,83.50448817355566,3.1080390403106044,3.5561521704369805,9.831320615696766
6,0.00015359720176814549,0.008996449143317233,0.010498523902730601,0.019494973046047834,1.6214431631209358,1.8267097685673184,0.0007781465592424395,0.00010115905270151714,4.668879355454637e-05,3.307122876780368e-05,0.020348902151134177,0.05069152538768151,0.20526662971083784,1.8267097928317737,0.34608853684055413,28.644115549580224,41.06801413624893,84.29892850664865,99.13400039645985,71.35588445041978,246.9545364440943,1.964857024781598,4.604756571515517e-05,0.008522098505801988,0.010179318458596777,0.018701416964398764,0.00010754963605299032,0.0007935560816490703,0.39986325525705757,0.17043149572830837,0.0063666536665290515,0.008191870160927824,0.020276610155072605,83.02932433216142,3.1016506070654795,3.9908436030093313,9.878181457763771
7,0.0001253049094395796,0.00895990033316319,0.010498100256826359,0.019458000589989546,1.8267097685673184,2.0313504916296847,0.0007741855478795894,0.00010064412122434662,4.6451132872775363e-05,3.2902885784882554e-05,0.020280072492520756,0.05069112928654523,0.20464074710117042,2.031350515668489,0.34680875038038794,28.575072683217073,41.04253130307662,83.98974268784782,99.10085249295273,71.42492731678293,247.70789788743522,1.9583305499429124,1.9339977600365174e-05,0.008429207632088745,0.01013961911660825,0.018568826748696997,0.00010596493183921442,0.0008891738412925496,0.4993771325702339,0.16898333387543057,0.006334245391742095,0.009046716119379673,0.020276451714618095,82.57560445275764,3.0953001694284112,4.42077946231654,9.90831591549742
8,0.00011311268560001384,0.008923436787091591,0.010497472000523268,0.01942090878761486,2.0313504916296847,2.2355154116001077,0.000770808349768163,0.00010020508546986119,4.624850098608978e-05,3.275935486514693e-05,0.02022774898800622,0.05069079156673409,0.20416494379038652,2.235515435420071,0.3473590482191278,28.522511644741062,41.02307691272454,83.75474191995099,99.07552497736243,71.47748835525894,248.28352324176535,1.9534021473214873,8.122790592153373e-06,0.008337329268898979,0.010100074602053477,0.018437403870952454,0.00010498989500786046,0.0009835049166624053,0.6082266137372606,0.1676866060140419,0.006306613770830425,0.009895407378820598,0.020276316626693637,82.13290827547924,3.088979750267677,4.846771044582504,9.931340929670604
9,0.00010772810197502456,0.008887103726161466,0.010496670332838024,0.019383774058999492,2.2355154116001077,2.4392681103593916,0.0007676846825907957,9.979900873680343e-05,4.606108095544774e-05,3.262659901010882e-05,0.02018241837530623,0.050690479200016354,0.20375272236460865,2.4392681339647164,0.34783779452280345,28.47692004388092,41.00616356468009,83.55117460031995,99.05349062865754,71.52307995611908,248.7843038941459,1.9491502160974516,3.411572048704417e-06,0.00824645237986798,0.010060684311105468,0.018307136690973447,0.00010431652992632015,0.0010766373680260455,0.7263220035324971,0.16645952966383776,0.006281056493924691,0.010735944526839687,0.020276191680006543,81.69683709352556,3.082685924895252,5.269104825813358,9.95137215576584
